area,station,stationNormalized,query,confidence,score,lat,lon,displayName,reason,resultCount
中部,信濃,信濃,信濃 中部 変電所 日本,low,0.439,34.9951671,135.7643299,"信濃善光寺分身如来, 富小路通, 下柳町, 唐物町, 下京区, 京都市, 京都府, 600-8184, 日本","stationContained=true, displayHasKind=false, overlap=1, queryOverlap=0.444",1
東京,西東京,西東京,西東京 東京 変電所 日本,low,0.325,34.9963669,135.7649638,"損保ジャパン日本興亜, 富小路通, 西魚屋町, 仏光寺東町, 下京区, 京都市, 京都府, 600-8078, 日本","stationContained=false, displayHasKind=false, overlap=1, queryOverlap=0.625",5
東北,新庄,新庄,新庄 東北 変電所 日本,low,0.439,35.0035743,135.7548399,"新庄家旗店, 四条通, 傘鉾町, 下京区, 京都市, 京都府, 600-8473, 日本","stationContained=true, displayHasKind=false, overlap=1, queryOverlap=0.444",1
東北,西山形,西山形,西山形 東北 変電所 日本,low,0.3,34.225939,135.178504,"和歌山西警察署屋形町交番, 屋形通り, 屋形町五丁目, 和歌山市, 和歌山県, 640-8511, 日本","stationContained=false, displayHasKind=false, overlap=1, queryOverlap=0.5",1
北陸,城端開閉所,城端,城端開閉所 北陸 開閉所 日本,low,0.289,35.0491953,135.7864183,"大城田町, 川端通, 一乗寺小谷町, 山端川端町, 左京区, 京都市, 京都府, 606-8003, 日本","stationContained=false, displayHasKind=false, overlap=1, queryOverlap=0.444",3
沖縄,栄野比変電所,栄野比,栄野比変電所 沖縄 変電所 日本,none,0,,,,no_result,0
沖縄,吉の浦火力変電所,吉の浦,吉の浦火力変電所 沖縄 変電所 日本,none,0,,,,no_result,0
沖縄,金武火力変電所,金武,金武火力変電所 沖縄 変電所 日本,none,0,,,,no_result,0
沖縄,具志川火力開閉所,具志川,具志川火力開閉所 沖縄 開閉所 日本,none,0,,,,no_result,0
沖縄,具志川火力変電所,具志川,具志川火力変電所 沖縄 変電所 日本,none,0,,,,no_result,0
沖縄,西原変電所,西原,西原変電所 沖縄 変電所 日本,none,0,,,,no_result,0
沖縄,西那覇変電所,西那覇,西那覇変電所 沖縄 変電所 日本,none,0,,,,no_result,0
